# generated by scripts/hash-check.py from PathOfBuilding/src/Data/Mod*.lua @ 16de4b82, poe1/data/mods.json and stat_translations.json @ e2bd511a, ../trade-query/data/stats-2026-09-12.json
trade_number,group,class,reason,mods,table,mod,pob_description,export_numbers,capture_categories,export_string
252427115,local_display_trigger_level_x_gore_shockwave_on_melee_hit_with_atleast_150_strength,reproduced,,2,ModItemExclusive,TriggerGoreShockwaveOnMeleeHitWith150StrengthUnique__1_,Trigger Level 1 Gore Shockwave on Melee Hit if you have at least 150 Strength,252427115,explicit,Trigger Level {0} Gore Shockwave on Melee Hit if you have at least 150 Strength
252507949,two_handed_melee_critical_strike_multiplier_+,reproduced,,1,ModJewel,TwoHandCritMultiplierJewel,+(15-18)% to Critical Strike Multiplier with Two Handed Melee Weapons,252507949,explicit fractured,{0}% to Critical Strike Multiplier with Two Handed Melee Weapons
252724319,local_affliction_notable_enduring_ward,reproduced,,1,ModJewelCluster,AfflictionNotableEnduringWard_,1 Added Passive Skill is Enduring Ward,252724319,explicit fractured,1 Added Passive Skill is Enduring Ward
253956903,item_found_gold_+%,reproduced,export text join ambiguous; the hash picks one,6,ModFoulborn,MutatedUniqueGlovesInt1IncreasedGold,(5-15)% increased Quantity of Gold Dropped by Slain Enemies,253956903 3664950032,enchant explicit,{0}% increased Quantity of Gold Dropped by Slain Enemies
254155233,spell_minimum_added_lightning_damage_per_10_intelligence|spell_maximum_added_lightning_damage_per_10_intelligence,reproduced,,1,ModItemExclusive,SpellLightningDamagePerIntelligenceUnique__1,Adds 1 to (24-35) Lightning Damage to Spells per 10 Intelligence,254155233,explicit,Adds {0} to {1} Lightning Damage to Spells per 10 Intelligence
254194892,local_affliction_notable_riot_queller,reproduced,,1,ModJewelCluster,AfflictionNotableRiotQueller,1 Added Passive Skill is Riot Queller,254194892,explicit fractured,1 Added Passive Skill is Riot Queller
254238561,local_unique_hungry_loop_number_of_gems_to_consume,explained,number not in the capture (recipe output the site lacks),1,ModItemExclusive,HungryLoopSupportedByOverheat,Socketed Gems are Supported by Level 3 Overheat,,not in capture,
254728692,local_display_socketed_gems_get_pierce_level,reproduced,,2,ModItemExclusive,SocketedGemsSupportedByPierceUniqueBodyStr6,Socketed Gems are Supported by Level 15 Pierce,254728692,explicit implicit,Socketed Gems are Supported by Level {0} Pierce
254952564,local_inflict_hallowing_flame_on_hit,reproduced,,1,ModItemExclusive,LocalInflictHallowingFlameOnHitUnique__1,Attacks with this weapon inflict Hallowing Flame on Hit,254952564,explicit,Attacks with this weapon inflict Hallowing Flame on Hit
256730087,poison_damage_+%_with_over_300_dexterity,reproduced,,1,ModItemExclusive,PoisonDamageWithOver300DexterityUnique__1,(75-100)% increased Damage with Poison if you have at least 300 Dexterity,256730087,explicit,{0}% increased Damage with Poison if you have at least 300 Dexterity
259714394,tinctured_weapon_damage_+%_vs_enemies_that_are_on_low_life,explained,stat group has no translation entry,5,ModTincture,TinctureDamageAgainstLowLife1,(40-47)% increased Melee Weapon Damage against Enemies that are on Low Life,,explicit,
261024552,fish_rot_when_caught,reproduced,,1,ModScourge,HellscapeDownsideFishRotWhenCaught,Fish Rot upon being Caught,261024552,scourge,Fish Rot upon being Caught
261121382,graft_skill_duration_+%,explained,stat group has no translation entry,5,ModGraft,GraftSuffixIncreasedDuration1,Skills used by this Graft have (10-14)% increased Skill Effect Duration,,explicit,
261121382,graft_uulnetol_life_recovery_rate_+%_final_to_grant_on_reaching_low_life,explained,stat group has no translation entry,2,ModGraft,GraftSuffixUulNetolLowLifeBuffDurationForEffect1,Skills used by this Graft have (34-40)% increased Skill Effect Duration,,explicit,
261342933,keystone_secrets_of_suffering,reproduced,,1,ModItemExclusive,SecretsOfSufferingKeystoneSceptreImplicit1,Secrets of Suffering,261342933,implicit,Secrets of Suffering
261654754,cold_damage_taken_+,reproduced,,3,ModSynthesis,SynthesisImplicitFlatColdDamageTaken1_,-(15-10) Cold Damage taken from Hits,261654754,implicit,{0} Cold Damage taken from Hits
262301496,raise_spectre_mana_cost_+%,reproduced,,1,ModItemExclusive,RaiseSpectreManaCostUnique__1_,(40-50)% reduced Mana Cost of Raise Spectre,262301496,explicit,{0}% increased Mana Cost of Raise Spectre
262773569,herald_mana_reservation_override_45%,reproduced,,1,ModItemExclusive,HeraldsAlwaysCost45Unique__1,Mana Reservation of Herald Skills is always 45%,262773569,explicit,Mana Reservation of Herald Skills is always 45%
264042266,minion_base_physical_damage_%_to_convert_to_cold,reproduced,,1,ModItemExclusive,MinionPhysicalConvertToColdUnique__1,Minions convert 50% of Physical Damage to Cold Damage,264042266,explicit,Minions convert {0}% of Physical Damage to Cold Damage
264042990,local_all_damage_can_poison,reproduced,,1,ModItemExclusive,LocalAllDamageCanPoisonImplicitE1_,All Damage from Hits with This Weapon can Poison,264042990,implicit,All Damage from Hits with This Weapon can Poison
264301062,consecrate_on_block_%_chance_to_create,explained,number not in the capture (recipe output the site lacks),1,ModItemExclusive,ConsecratedGroundOnBlockUniqueBodyInt8,,,not in capture,
264715122,totems_attack_speed_+%_per_active_totem,explained,number not in the capture (recipe output the site lacks),1,ModItemExclusive,AttacksByTotemsHaveReducedAttackSpeedPerTotemUnique_1,Totems have 5% increased Attack Speed per Summoned Totem,,not in capture,
264841388,chance_to_gain_rongokurais_embrace_%_on_kill,reproduced,,1,ModItemExclusive,RongokuraisEmbraceOnKillUnique__1,10% chance to Trigger Summon Spirit of Kahuturoa on Kill,264841388,explicit,{0}% chance to Trigger Summon Spirit of Kahuturoa on Kill
269590092,attack_and_cast_speed_+%_per_frenzy_charge,reproduced,,1,ModItemExclusive,AttackAndCastSpeedPerFrenzyChargeUniqueBootsDex4,4% reduced Attack and Cast Speed per Frenzy Charge,269590092,explicit,{0}% increased Attack and Cast Speed per Frenzy Charge
269930125,base_fire_golem_granted_buff_effect_+%,reproduced,,18,ModEldritch,FireGolemBuffEffectEldritchImplicit1,(31-33)% increased Effect of the Buff granted by your Flame Golems,269930125,enchant implicit,{0}% increased Effect of the Buff granted by your Flame Golems
270706555,physical_damage_%_to_add_as_lightning_if_have_used_topaz_flask_recently,reproduced,,1,ModItemExclusive,PhysicalAddedAsLightningIfUsedTopazFlaskRecentlyUnique__1,Gain (20-40)% of Physical Damage as Extra Lightning Damage if you've / used a Topaz Flask Recently,270706555,explicit,Gain {0}% of Physical Damage as Extra Lightning Damage if you've\nused a Topaz Flask Recently
270993809,local_always_hit_burning_enemies,reproduced,,1,ModExplicit,DeepwaterSwordAlwaysHit,Always Hits Burning Enemies,270993809,explicit fractured,Always Hits Burning Enemies
271119551,local_display_supported_by_level_x_awakened_controlled_destruction,reproduced,,1,ModItemExclusive,HungryLoopSupportedByAwakenedControlledDestruction,Socketed Gems are Supported by Level 5 Awakened Controlled Destruction,271119551,explicit,Socketed Gems are Supported by Level {0} Awakened Controlled Destruction
272515409,chance_to_gain_kitavas_embrace_%_on_kill,reproduced,,1,ModItemExclusive,KitavasEmbraceOnKillUnique__1,10% chance to Trigger Summon Spirit of Utula on Kill,272515409,explicit,{0}% chance to Trigger Summon Spirit of Utula on Kill
272906215,life_leech_is_instant_for_exerted_attacks,reproduced,,1,ModItemExclusive,LifeLeechInstantExertedAttacksUnique__1,Life Leech from Exerted Attacks is instant,272906215,explicit,Life Leech from Exerted Attacks is instant
273206351,chance_to_gain_power_charge_on_hitting_enemy_affected_by_spiders_web_%,reproduced,,2,ModItemExclusive,PowerChargeOnHitWebbedEnemyUnique__1,10% chance to gain a Power Charge on hitting an Enemy affected by a Spider's Web,273206351,explicit implicit,{0}% chance to gain a Power Charge on hitting an Enemy affected by a Spider's Web
273476097,attack_physical_damage_%_to_add_as_fire,reproduced,,3,ModItemExclusive,AttackPhysicalDamageAddedAsFireUnique__1,Gain 15% of Physical Attack Damage as Extra Fire Damage,273476097,explicit,Gain {0}% of Physical Attack Damage as Extra Fire Damage
274716455,base_spell_critical_strike_multiplier_+,reproduced,,19,ModEldritch,SpellCriticalStrikeMultiplierEldritchImplicit1,+(20-21)% to Critical Strike Multiplier for Spell Damage,274716455,explicit fractured implicit,{0}% to Critical Strike Multiplier for Spell Damage
275498888,local_maximum_quality_is_%,reproduced,,1,ModItemExclusive,MaximumQualityOverrideUnique__1,Maximum Quality is 200%,275498888,explicit,Maximum Quality is {0}%
276103140,critical_strike_chance_+%_vs_shocked_enemies,reproduced,,9,ModExplicit,LightningResistEnhancedModAilments,(40-60)% increased Critical Strike Chance against Shocked Enemies,276103140,explicit fractured,{0}% increased Critical Strike Chance against Shocked Enemies
276813598,always_crit_on_next_non_channelling_attack_within_X_ms_after_being_crit,reproduced,,1,ModItemExclusive,AttackCritAfterBeingCritUnique,All Hits with your next Non-Channelling Attack within 4 seconds of taking a Critical Strike will be Critical Strikes,276813598,explicit,All Hits with your next Non-Channelling Attack within {0} second of taking a Critical Strike will be Critical Strikes
277484363,gain_life_regeneration_%_per_second_for_1_second_if_taken_savage_hit,explained,number not in the capture (recipe output the site lacks),1,ModItemExclusive,LifeRegeneratedAfterSavageHitUnique_1,Regenerate 10% of Life per second if you've taken a Savage Hit in the past 1 second,,not in capture,
278339309,create_herald_of_thunder_storm_on_shocking_enemy,explained,number not in the capture (recipe output the site lacks),1,ModItemExclusive,ActivateHeraldOfThunderOnShockUnique__1,Herald of Thunder also creates a storm when you Shock an Enemy,,not in capture,
279110104,enemies_you_ignite_wither_does_not_expire,reproduced,,1,ModItemExclusive,EnemiesIgniteWitherNeverExpiresUnique__1,Withered does not expire on Enemies Ignited by you,279110104,explicit,Withered does not expire on Enemies Ignited by you
279227559,movement_speed_+%_if_enemy_killed_recently,reproduced,,3,ModItemExclusive,MovementSpeedIfKilledRecentlyUnique___1,15% increased Movement Speed if you've Killed Recently,279227559,explicit fractured,{0}% increased Movement Speed if you've Killed Recently
279246355,map_num_extra_invasion_bosses,reproduced,,1,ModExplicit,MapInvasionBossMasterVendorItem,Area is inhabited by an additional Invasion Boss,279246355,enchant explicit implicit,Area is inhabited by an additional Invasion Boss
280213220,attacks_chance_to_taunt_on_hit_%,reproduced,,10,ModExplicit,TauntOnHitWeaponInfluence1,(5-6)% chance to Taunt Enemies on Hit with Attacks,280213220,explicit fractured implicit scourge,{0}% chance to Taunt Enemies on Hit with Attacks
280731498,base_skill_area_of_effect_+%,reproduced,,98,ModCorrupted,AdditionalAOERangeCorruption,(4-6)% increased Area of Effect,280731498,crafted enchant explicit fractured implicit scourge,{0}% increased Area of Effect
280832469,old_do_not_use_base_life_leech_from_cold_damage_permyriad,explained,number not in the capture (recipe output the site lacks),2,ModItemExclusive,ColdDamageLifeLeechPerMyriadUniqueBelt9b,100% of Cold Damage Leeched as Life,,not in capture,
281201999,enemy_knockback_direction_is_reversed,reproduced,,2,ModItemExclusive,EnemyKnockbackDirectionReversedUniqueGlovesStr5_,Knockback direction is reversed,281201999,explicit implicit,Knockback direction is reversed
282062371,local_affliction_notable_strike_leader,reproduced,,1,ModJewelCluster,AfflictionNotableStrikeLeader_,1 Added Passive Skill is Strike Leader,282062371,explicit fractured,1 Added Passive Skill is Strike Leader
282325999,nearby_enemies_are_unnerved_if_2_elder_items,reproduced,,1,ModItemExclusive,NearbyEnemiesAreUnnerved2ElderItemsUnique__1,Nearby Enemies are Unnerved if 2 Elder Items are Equipped,282325999,explicit,Nearby Enemies are Unnerved if 2 Elder Items are Equipped
282353000,deal_no_non_physical_damage,reproduced,,1,ModItemExclusive,DealNoNonPhysicalDamageUniqueBelt__1,Deal no Non-Physical Damage,282353000,explicit,Deal no Non-Physical Damage
282417259,flammability_curse_effect_+%,reproduced,,20,ModEldritch,CurseEffectFlammabilityEldritchImplicit1,10% increased Flammability Curse Effect,282417259,enchant implicit,{0}% increased Flammability Curse Effect
282757414,local_display_socketed_gems_supported_by_level_x_pulverise,reproduced,,2,ModItemExclusive,SocketedGemsGetIncreasedAreaOfEffectUniqueTwoHandMace3,Socketed Gems are Supported by Level 15 Pulverise,282757414,explicit,Socketed Gems are Supported by Level {0} Pulverise
283649372,base_cannot_be_chilled,reproduced,,6,ModFoulborn,MutatedUniqueAmulet40CannotBeChilled,Cannot be Chilled,283649372,explicit implicit,Cannot be Chilled
284063465,totem_life_increased_by_overcapped_fire_resistance,reproduced,,1,ModFoulborn,MutatedUniqueHelmetStr4TotemLifeIncreasedByOvercappedFireResistance,Totem Life is increased by their Overcapped Fire Resistance,284063465,explicit,Totem Life is increased by their Overcapped Fire Resistance
285624304,num_of_additional_chains_at_max_frenzy_charges,reproduced,,1,ModItemExclusive,AdditionalChainWhileAtMaxFrenzyChargesUnique___1,Skills Chain an additional time while at maximum Frenzy Charges,285624304,explicit,Skills Chain an additional time while at maximum Frenzy Charges
285773939,local_display_socketed_gems_supported_by_level_x_flamewood,reproduced,,2,ModFoulborn,MutatedUniqueBodyInt7SupportedByFlamewood,Socketed Gems are Supported by Level 20 Flamewood,285773939,explicit,Socketed Gems are Supported by Level {0} Flamewood
287112619,elemental_ailment_on_self_duration_+%_with_rare_abyss_jewel_socketed,reproduced,,1,ModItemExclusive,ElementalAilmentDurationWithRareAbyssJewelUnique__1,(40-60)% reduced Duration of Elemental Ailments on You while affected by a Rare Abyss Jewel,287112619,explicit,{0}% increased Duration of Elemental Ailments on You while affected by a Rare Abyss Jewel
287491423,additional_physical_damage_reduction_%_vs_abyssal_monsters,reproduced,,3,ModJewelAbyss,AbyssReducedPhysicalDamageTakenVsAbyssMonsterJewel1,(4-6)% additional Physical Damage Reduction against Abyssal Monsters,287491423,explicit fractured implicit,{0}% additional Physical Damage Reduction against Abyssal Monsters
288651645,spell_chance_to_shock_frozen_enemies_%,reproduced,,1,ModItemExclusive,SpellChanceToShockFrozenEnemiesUniqueRing34,Your spells have 100% chance to Shock against Frozen Enemies,288651645,explicit,Your spells have {0}% chance to Shock against Frozen Enemies
289714529,local_affliction_notable_elegant_form,reproduced,,1,ModJewelCluster,AfflictionNotableElegantForm,1 Added Passive Skill is Elegant Form,289714529,explicit fractured,1 Added Passive Skill is Elegant Form
289814996,unique_lightning_damage_resistance_%_when_blue_gem_socketed,reproduced,,1,ModItemExclusive,LightningResistanceWhenSocketedWithBlueGemUniqueRing25,+(75-100)% to Lightning Resistance when Socketed with a Blue Gem,289814996,explicit,{0}% to Lightning Resistance when Socketed with a Blue Gem
289885185,chaos_skill_effect_duration_+%,reproduced,,3,ModItemExclusive,ChaosSkillEffectDurationUnique__1,Chaos Skills have (40-80)% increased Skill Effect Duration,289885185,crafted explicit fractured,Chaos Skills have {0}% increased Skill Effect Duration
291373897,graft_uulnetol_life_leech_permyriad_to_grant_on_reaching_low_life,explained,stat group has no translation entry,3,ModGraft,GraftSuffixUulNetolLowLifeBuffLifeLeech1,Buff granted by Tender Embrace used by this Graft grants (0.2-0.29)% of Damage Leeched as Life,,explicit,
291644318,spell_skills_deal_no_damage,reproduced,,1,ModItemExclusive,CannotDealSpellDamageUnique__1,Spell Skills deal no Damage,291644318,explicit,Spell Skills deal no Damage
